Name,Total,Sex,Year,Frequency
ASHLEEN,55,2.0,1915.0,0
ASHLEIGH,446,2.0,1915.0,0
ASHLEY,158,1.0,1915.0,0
ASHLEY,6944,2.0,1915.0,0
ASHLIE,5,2.0,1915.0,0
ASHLIN,6,2.0,1915.0,0
ASHLY,19,2.0,1915.0,0
ASHLYN,240,2.0,1915.0,0
ASHLYNN,80,2.0,1915.0,0
ASHTON,837,1.0,1915.0,0
ASHTON,58,2.0,1915.0,0
ASHWIN,10,1.0,1915.0,0
ASIA,186,2.0,1915.0,0
ASPEN,30,2.0,1915.0,0
ASPYN,5,2.0,1915.0,0
ASTON,6,1.0,1915.0,0
ASTRID,21,2.0,1915.0,0
ATHENA,342,2.0,1915.0,0
ATLAS,13,1.0,1915.0,0
ATTICUS,76,1.0,1915.0,0
ATTILA,5,1.0,1915.0,0
AUBREE,95,2.0,1915.0,0
AUBREY,31,1.0,1915.0,6
AUBREY,290,2.0,1915.0,0
AUBRIE,13,2.0,1915.0,0
AUDRA,53,2.0,1915.0,0
AUDREY,2847,2.0,1915.0,27
AUDRINA,43,2.0,1915.0,0
AUDRY,5,2.0,1915.0,0
AUGUST,78,1.0,1915.0,0
AUGUST,6,2.0,1915.0,0
AUGUSTUS,5,1.0,1915.0,0
AURA,5,2.0,1915.0,0
AURELIA,17,2.0,1915.0,0
AURORA,402,2.0,1915.0,0
AUSTEN,83,1.0,1915.0,0
AUSTIN,3157,1.0,1915.0,0
AUSTIN,5,2.0,1915.0,0
AUSTYN,37,1.0,1915.0,0
AUSTYN,7,2.0,1915.0,0
AUTUMN,668,2.0,1915.0,0
AVA,2432,2.0,1915.0,0
AVA-MARIE,5,2.0,1915.0,0
AVAH,6,2.0,1915.0,0
AVALON,20,2.0,1915.0,0
AVALYN,5,2.0,1915.0,0
AVANI,55,2.0,1915.0,0
AVARY,10,2.0,1915.0,0
AVAYA,14,2.0,1915.0,0
AVELYN,6,2.0,1915.0,0
AVEN,6,2.0,1915.0,0
AVERI,5,2.0,1915.0,0
AVERIE,38,2.0,1915.0,0
AVERY,414,1.0,1915.0,0
AVERY,1241,2.0,1915.0,0
AVIA,5,2.0,1915.0,0
AVIJOT,5,1.0,1915.0,0
AVLEEN,17,2.0,1915.0,0
AVNEET,358,2.0,1915.0,0
AVRIL,32,2.0,1915.0,0
AXEL,86,1.0,1915.0,0
AXL,6,1.0,1915.0,0
AXTON,12,1.0,1915.0,0
AYA,60,2.0,1915.0,0
AYAAN,75,1.0,1915.0,0
AYAKO,62,2.0,1915.0,8
AYAN,5,1.0,1915.0,0
AYANA,5,2.0,1915.0,0
AYANNA,6,2.0,1915.0,0
AYDAN,35,1.0,1915.0,0
AYDEN,518,1.0,1915.0,0
AYDEN,5,2.0,1915.0,0
AYDIN,38,1.0,1915.0,0
AYESHA,50,2.0,1915.0,0
AYLA,481,2.0,1915.0,0
AYNSLEY,5,2.0,1915.0,0
AYSHA,6,2.0,1915.0,0
AYVA,31,2.0,1915.0,0
AZALEA,17,2.0,1915.0,0
BAILEE,40,2.0,1915.0,0
BAILEY,252,1.0,1915.0,0
BAILEY,867,2.0,1915.0,0
BALDEEP,19,1.0,1915.0,0
BALJINDER,24,1.0,1915.0,0
BALJINDER,24,2.0,1915.0,0
BALJIT,10,1.0,1915.0,0
BALJIT,40,2.0,1915.0,0
